Atlético-MG,http://globoesporte.globo.com/dynamo/futebol/times/atletico-mg/rss2.xml
Atlético-PR,http://globoesporte.globo.com/dynamo/futebol/times/atletico-pr/rss2.xml
Avaí,http://globoesporte.globo.com/dynamo/futebol/times/avai/rss2.xml
Bahia,http://globoesporte.globo.com/dynamo/futebol/times/bahia/rss2.xml
Botafogo,http://globoesporte.globo.com/dynamo/futebol/times/botafogo/rss2.xml
Corinthians,http://globoesporte.globo.com/dynamo/futebol/times/corinthians/rss2.xml
Coritiba,http://globoesporte.globo.com/dynamo/futebol/times/coritiba/rss2.xml
Cruzeiro,http://globoesporte.globo.com/dynamo/futebol/times/cruzeiro/rss2.xml
Figueirense,http://globoesporte.globo.com/dynamo/futebol/times/figueirense/rss2.xml
Flamengo,http://globoesporte.globo.com/dynamo/futebol/times/flamengo/rss2.xml
Fluminense,http://globoesporte.globo.com/dynamo/futebol/times/fluminense/rss2.xml
Goias,http://globoesporte.globo.com/dynamo/futebol/times/goias/rss2.xml
Grêmio,http://globoesporte.globo.com/dynamo/futebol/times/gremio/rss2.xml
Internacional,http://globoesporte.globo.com/dynamo/futebol/times/internacional/rss2.xml
Juventude,http://globoesporte.globo.com/dynamo/futebol/times/juventude/rss2.xml
Náutico,http://globoesporte.globo.com/dynamo/futebol/times/nautico/rss2.xml
Palmeiras,http://globoesporte.globo.com/dynamo/futebol/times/palmeiras/rss2.xml
Paraná,http://globoesporte.globo.com/dynamo/futebol/times/parana/rss2.xml
Portuguesa,http://globoesporte.globo.com/dynamo/futebol/times/portuguesa/rss2.xml
Santa Cruz,http://globoesporte.globo.com/dynamo/futebol/times/santa-cruz/rss2.xml
Santos,http://globoesporte.globo.com/dynamo/futebol/times/santos/rss2.xml
Sport,http://globoesporte.globo.com/dynamo/futebol/times/sport/rss2.xml
São paulo,http://globoesporte.globo.com/dynamo/futebol/times/sao-paulo/rss2.xml
Vasco,http://globoesporte.globo.com/dynamo/futebol/times/vasco/rss2.xml
Vitória,http://globoesporte.globo.com/dynamo/futebol/times/vitoria/rss2.xml
